Category,Region,Inventory Level,Price,Discount,Weather Condition,Promotion,Demand,Product_UID,Weekday
Electronics,North,195,72.72,5,Snowy,0,115,S001_P0001,Saturday
Clothing,North,117,80.16,15,Snowy,1,229,S001_P0002,Saturday
Clothing,North,247,62.94,10,Snowy,1,157,S001_P0003,Saturday
Electronics,North,139,87.63,10,Snowy,0,52,S001_P0004,Saturday
Groceries,North,152,54.41,0,Snowy,0,59,S001_P0005,Saturday
Toys,North,209,35.53,0,Snowy,0,55,S001_P0006,Saturday
Groceries,North,118,23.27,5,Snowy,0,94,S001_P0007,Saturday
Electronics,North,244,37.79,5,Snowy,0,61,S001_P0008,Saturday
Clothing,North,115,94.2,5,Snowy,0,129,S001_P0009,Saturday
Furniture,North,192,113.35,10,Snowy,0,69,S001_P0010,Saturday
Furniture,North,215,156.34,0,Snowy,0,64,S001_P0011,Saturday
Groceries,North,289,84.48,0,Snowy,0,104,S001_P0012,Saturday
Toys,North,279,33.1,5,Snowy,0,110,S001_P0013,Saturday
Groceries,North,252,80.13,10,Snowy,1,165,S001_P0014,Saturday
Toys,North,119,14.39,5,Snowy,0,64,S001_P0015,Saturday
Groceries,North,103,38.79,10,Snowy,0,115,S001_P0016,Saturday
Toys,North,128,21.21,0,Snowy,0,75,S001_P0017,Saturday
Groceries,North,281,54.4,5,Snowy,0,66,S001_P0018,Saturday
Furniture,North,281,95.56,10,Snowy,0,58,S001_P0019,Saturday
Furniture,North,266,100.47,5,Snowy,0,43,S001_P0020,Saturday
Groceries,South,102,90.89,0,Cloudy,0,118,S002_P0001,Saturday
Toys,South,193,25.68,25,Cloudy,1,105,S002_P0002,Saturday
Groceries,South,187,95.17,10,Cloudy,1,171,S002_P0003,Saturday
Groceries,South,160,39.54,10,Cloudy,0,110,S002_P0004,Saturday
Electronics,South,155,92.35,0,Cloudy,0,94,S002_P0005,Saturday
Clothing,South,198,64.0,5,Cloudy,0,88,S002_P0006,Saturday
