PKeyID	Category
S001_P0001	Electronics
S001_P0002	Clothing
S001_P0003	Clothing
S001_P0004	Electronics
S001_P0005	Groceries
S001_P0006	Toys
S001_P0007	Groceries
S001_P0008	Electronics
S001_P0009	Clothing
S001_P0010	Furniture
S001_P0011	Furniture
S001_P0012	Groceries
S001_P0013	Toys
S001_P0014	Groceries
S001_P0015	Toys
S001_P0016	Groceries
S001_P0017	Toys
S001_P0018	Groceries
S001_P0019	Furniture
S001_P0020	Furniture
S002_P0001	Groceries
S002_P0002	Toys
S002_P0003	Groceries
S002_P0004	Groceries
S002_P0005	Electronics
S002_P0006	Clothing
S002_P0007	Toys
S002_P0008	Groceries
S002_P0009	Groceries
S002_P0010	Groceries
S002_P0011	Groceries
S002_P0012	Electronics
S002_P0013	Groceries
S002_P0014	Electronics
S002_P0015	Clothing
S002_P0016	Clothing
S002_P0017	Toys
S002_P0018	Clothing
S002_P0019	Clothing
S002_P0020	Furniture
S003_P0001	Toys
S003_P0002	Groceries
S003_P0003	Electronics
S003_P0004	Groceries
S003_P0005	Toys
S003_P0006	Toys
S003_P0007	Groceries
S003_P0008	Clothing
S003_P0009	Groceries
S003_P0010	Groceries
S003_P0011	Electronics
S003_P0012	Furniture
S003_P0013	Groceries
S003_P0014	Groceries
S003_P0015	Groceries
S003_P0016	Electronics
S003_P0017	Furniture
S003_P0018	Furniture
S003_P0019	Groceries
S003_P0020	Clothing
S004_P0001	Groceries
S004_P0002	Groceries
S004_P0003	Furniture
S004_P0004	Groceries
S004_P0005	Clothing
S004_P0006	Groceries
S004_P0007	Groceries
S004_P0008	Furniture
S004_P0009	Clothing
S004_P0010	Groceries
S004_P0011	Clothing
S004_P0012	Electronics
S004_P0013	Groceries
S004_P0014	Furniture
S004_P0015	Furniture
S004_P0016	Furniture
S004_P0017	Clothing
S004_P0018	Furniture
S004_P0019	Clothing
S004_P0020	Furniture
S005_P0001	Groceries
S005_P0002	Electronics
S005_P0003	Toys
S005_P0004	Groceries
S005_P0005	Groceries
S005_P0006	Groceries
S005_P0007	Groceries
S005_P0008	Groceries
S005_P0009	Groceries
S005_P0010	Groceries
S005_P0011	Electronics
S005_P0012	Furniture
S005_P0013	Groceries
S005_P0014	Furniture
S005_P0015	Groceries
S005_P0016	Toys
S005_P0017	Toys
S005_P0018	Clothing
S005_P0019	Furniture
S005_P0020	Toys
